,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2023-12-05 17:57:45.034240
1,Euro,0.927413,2023-12-05 17:57:45.034240
2,British Pound,0.794654,2023-12-05 17:57:45.034240
3,Indian Rupee,83.355544,2023-12-05 17:57:45.034240
4,Australian Dollar,1.527682,2023-12-05 17:57:45.034240
5,Canadian Dollar,1.358365,2023-12-05 17:57:45.034240
6,Singapore Dollar,1.342140,2023-12-05 17:57:45.034240
7,Swiss Franc,0.876567,2023-12-05 17:57:45.034240
8,Malaysian Ringgit,4.665007,2023-12-05 17:57:45.034240
9,Japanese Yen,147.323700,2023-12-05 17:57:45.034240
10,Chinese Yuan Renminbi,7.143891,2023-12-05 17:57:45.034240
11,Argentine Peso,363.006984,2023-12-05 17:57:45.034240
12,Bahraini Dinar,0.376000,2023-12-05 17:57:45.034240
13,Botswana Pula,13.590424,2023-12-05 17:57:45.034240
14,Brazilian Real,4.952612,2023-12-05 17:57:45.034240
15,Bruneian Dollar,1.342140,2023-12-05 17:57:45.034240
16,Bulgarian Lev,1.813863,2023-12-05 17:57:45.034240
17,Chilean Peso,880.594683,2023-12-05 17:57:45.034240
18,Colombian Peso,4029.321963,2023-12-05 17:57:45.034240
19,Czech Koruna,22.586562,2023-12-05 17:57:45.034240
20,Danish Krone,6.914606,2023-12-05 17:57:45.034240
21,Hong Kong Dollar,7.819216,2023-12-05 17:57:45.034240
22,Hungarian Forint,352.261188,2023-12-05 17:57:45.034240
23,Icelandic Krona,139.584199,2023-12-05 17:57:45.034240
24,Indonesian Rupiah,15485.728329,2023-12-05 17:57:45.034240
25,Iranian Rial,42064.535823,2023-12-05 17:57:45.034240
26,Israeli Shekel,3.723878,2023-12-05 17:57:45.034240
27,Kazakhstani Tenge,461.047850,2023-12-05 17:57:45.034240
28,South Korean Won,1318.348787,2023-12-05 17:57:45.034240
29,Kuwaiti Dinar,0.308907,2023-12-05 17:57:45.034240
30,Libyan Dinar,4.817354,2023-12-05 17:57:45.034240
31,Mauritian Rupee,44.234531,2023-12-05 17:57:45.034240
32,Mexican Peso,17.490960,2023-12-05 17:57:45.034240
33,Nepalese Rupee,133.431387,2023-12-05 17:57:45.034240
34,New Zealand Dollar,1.632103,2023-12-05 17:57:45.034240
35,Norwegian Krone,10.933948,2023-12-05 17:57:45.034240
36,Omani Rial,0.384732,2023-12-05 17:57:45.034240
37,Pakistani Rupee,284.623064,2023-12-05 17:57:45.034240
38,Philippine Peso,55.431718,2023-12-05 17:57:45.034240
39,Polish Zloty,4.010460,2023-12-05 17:57:45.034240
40,Qatari Riyal,3.640000,2023-12-05 17:57:45.034240
41,Romanian New Leu,4.603833,2023-12-05 17:57:45.034240
42,Russian Ruble,90.373147,2023-12-05 17:57:45.034240
43,Saudi Arabian Riyal,3.750000,2023-12-05 17:57:45.034240
44,South African Rand,19.014009,2023-12-05 17:57:45.034240
45,Sri Lankan Rupee,328.055804,2023-12-05 17:57:45.034240
46,Swedish Krona,10.503062,2023-12-05 17:57:45.034240
47,Taiwan New Dollar,31.553689,2023-12-05 17:57:45.034240
48,Thai Baht,35.330328,2023-12-05 17:57:45.034240
49,Trinidadian Dollar,6.765334,2023-12-05 17:57:45.034240
50,Turkish Lira,28.896657,2023-12-05 17:57:45.034240
51,Emirati Dirham,3.672500,2023-12-05 17:57:45.034240
52,Venezuelan Bolivar,3546913.457917,2023-12-05 17:57:45.034240
