,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2023-12-07 12:05:07.848759
1,Euro,0.928077,2023-12-07 12:05:07.848759
2,British Pound,0.794242,2023-12-07 12:05:07.848759
3,Indian Rupee,83.368990,2023-12-07 12:05:07.848759
4,Australian Dollar,1.522704,2023-12-07 12:05:07.848759
5,Canadian Dollar,1.358685,2023-12-07 12:05:07.848759
6,Singapore Dollar,1.339491,2023-12-07 12:05:07.848759
7,Swiss Franc,0.873400,2023-12-07 12:05:07.848759
8,Malaysian Ringgit,4.674016,2023-12-07 12:05:07.848759
9,Japanese Yen,144.904111,2023-12-07 12:05:07.848759
10,Chinese Yuan Renminbi,7.138534,2023-12-07 12:05:07.848759
11,Argentine Peso,363.570646,2023-12-07 12:05:07.848759
12,Bahraini Dinar,0.376000,2023-12-07 12:05:07.848759
13,Botswana Pula,13.598810,2023-12-07 12:05:07.848759
14,Brazilian Real,4.902754,2023-12-07 12:05:07.848759
15,Bruneian Dollar,1.339491,2023-12-07 12:05:07.848759
16,Bulgarian Lev,1.815161,2023-12-07 12:05:07.848759
17,Chilean Peso,867.148398,2023-12-07 12:05:07.848759
18,Colombian Peso,4010.092941,2023-12-07 12:05:07.848759
19,Czech Koruna,22.607443,2023-12-07 12:05:07.848759
20,Danish Krone,6.919240,2023-12-07 12:05:07.848759
21,Hong Kong Dollar,7.812703,2023-12-07 12:05:07.848759
22,Hungarian Forint,353.275083,2023-12-07 12:05:07.848759
23,Icelandic Krona,139.313475,2023-12-07 12:05:07.848759
24,Indonesian Rupiah,15516.594495,2023-12-07 12:05:07.848759
25,Iranian Rial,41983.162990,2023-12-07 12:05:07.848759
26,Israeli Shekel,3.701867,2023-12-07 12:05:07.848759
27,Kazakhstani Tenge,458.579699,2023-12-07 12:05:07.848759
28,South Korean Won,1319.166577,2023-12-07 12:05:07.848759
29,Kuwaiti Dinar,0.308306,2023-12-07 12:05:07.848759
30,Libyan Dinar,4.836475,2023-12-07 12:05:07.848759
31,Mauritian Rupee,44.095682,2023-12-07 12:05:07.848759
32,Mexican Peso,17.341102,2023-12-07 12:05:07.848759
33,Nepalese Rupee,133.452910,2023-12-07 12:05:07.848759
34,New Zealand Dollar,1.626351,2023-12-07 12:05:07.848759
35,Norwegian Krone,10.909414,2023-12-07 12:05:07.848759
36,Omani Rial,0.385005,2023-12-07 12:05:07.848759
37,Pakistani Rupee,283.980140,2023-12-07 12:05:07.848759
38,Philippine Peso,55.316946,2023-12-07 12:05:07.848759
39,Polish Zloty,4.019286,2023-12-07 12:05:07.848759
40,Qatari Riyal,3.640000,2023-12-07 12:05:07.848759
41,Romanian New Leu,4.610850,2023-12-07 12:05:07.848759
42,Russian Ruble,92.669381,2023-12-07 12:05:07.848759
43,Saudi Arabian Riyal,3.750000,2023-12-07 12:05:07.848759
44,South African Rand,18.816024,2023-12-07 12:05:07.848759
45,Sri Lankan Rupee,326.742955,2023-12-07 12:05:07.848759
46,Swedish Krona,10.453178,2023-12-07 12:05:07.848759
47,Taiwan New Dollar,31.448072,2023-12-07 12:05:07.848759
48,Thai Baht,35.190857,2023-12-07 12:05:07.848759
49,Trinidadian Dollar,6.787483,2023-12-07 12:05:07.848759
50,Turkish Lira,28.934873,2023-12-07 12:05:07.848759
51,Emirati Dirham,3.672500,2023-12-07 12:05:07.848759
52,Venezuelan Bolivar,3553285.395464,2023-12-07 12:05:07.848759
